timestamp,device,usage_category,prompt_length,session_length_minutes,satisfaction_rating,assistant_model,tokens_used
2025-02-03 06:40:00,Tablet,Daily Tasks,172,7.51,2,GPT-5.1,908
2025-01-10 20:34:00,Mobile,Education,21,3.18,1,Mini,1496
2025-01-09 14:13:00,Tablet,Entertainment,150,6.92,2,GPT-5,1115
2025-02-06 00:34:00,Mobile,Entertainment,104,4.22,1,GPT-5.1,934
2025-02-06 17:03:00,Desktop,Education,152,6.75,3,o1,498
2025-03-08 00:24:00,Smart Speaker,Research,92,4.77,5,GPT-5.1,670
2025-02-13 01:43:00,Tablet,Education,35,6.88,4,o1,76
2025-01-15 17:35:00,Tablet,Research,151,17.6,3,Mini,569
2025-01-20 04:41:00,Desktop,Education,128,11.81,5,GPT-4o,942
2025-02-20 23:41:00,Mobile,Daily Tasks,95,6.35,1,GPT-5,1360
2025-01-31 01:48:00,Desktop,Research,77,15.8,3,Mini,1385
2025-03-02 11:10:00,Smart Speaker,Writing,72,9.25,5,o1,1235
2025-03-25 01:42:00,Mobile,Coding,98,15.1,4,GPT-5.1,51
2025-02-01 22:21:00,Tablet,Daily Tasks,56,2.19,2,GPT-4o,1220
2025-02-19 16:03:00,Mobile,Writing,60,3.21,3,GPT-5.1,343
2025-03-16 21:04:00,Desktop,Writing,59,8.09,3,GPT-4o,931
2025-01-19 22:21:00,Mobile,Writing,7,6.24,1,Mini,1420
2025-02-15 23:01:00,Desktop,Productivity,185,6.9,5,GPT-5.1,1334
2025-01-28 11:19:00,Tablet,Education,51,10.29,3,Mini,1003
2025-02-26 10:18:00,Mobile,Daily Tasks,37,8.14,2,o1,462
2025-03-08 21:03:00,Tablet,Research,34,12.57,5,GPT-5.1,790
2025-01-13 16:17:00,Desktop,Coding,197,12.35,5,GPT-5.1,1061
2025-01-17 20:55:00,Smart Speaker,Research,97,3.33,2,Mini,781
2025-01-03 02:01:00,Tablet,Productivity,68,1.08,4,Mini,618
2025-01-02 02:02:00,Tablet,Research,83,3.16,1,o1,616
2025-01-05 13:37:00,Desktop,Education,22,3.01,2,GPT-4o,907
2025-03-05 14:42:00,Mobile,Coding,66,7.27,4,GPT-5.1,72
2025-03-23 08:28:00,Desktop,Daily Tasks,53,7.2,5,GPT-4o,1497
2025-02-06 20:57:00,Desktop,Productivity,161,5.97,4,o1,171
2025-03-21 10:30:00,Mobile,Entertainment,16,9.49,3,GPT-5.1,1477
2025-03-07 16:07:00,Mobile,Daily Tasks,87,29.77,1,GPT-5,72
2025-03-14 16:23:00,Smart Speaker,Productivity,159,5.88,4,GPT-4o,778
2025-03-08 14:10:00,Desktop,Writing,167,8.32,3,GPT-5,638
2025-01-18 23:09:00,Desktop,Coding,104,6.89,5,Mini,869
2025-02-17 02:27:00,Mobile,Coding,48,4.46,1,GPT-4o,661
2025-02-17 06:59:00,Desktop,Entertainment,70,10.35,2,GPT-4o,1348
2025-02-27 17:52:00,Desktop,Daily Tasks,48,5.67,3,o1,44
2025-03-13 15:36:00,Mobile,Productivity,134,3.78,1,Mini,1478
2025-01-11 03:18:00,Desktop,Productivity,62,3.99,4,GPT-4o,1040
2025-03-02 17:17:00,Mobile,Productivity,127,12.87,4,GPT-5,1172
2025-03-16 23:21:00,Mobile,Research,132,10.18,3,o1,226
2025-01-11 09:31:00,Tablet,Research,188,4.84,2,Mini,116
2025-02-07 08:19:00,Mobile,Research,77,9.39,2,GPT-5.1,607
2025-03-22 14:22:00,Desktop,Writing,192,6.95,5,GPT-5,497
2025-01-03 04:38:00,Tablet,Productivity,83,8.42,4,GPT-5,1178
2025-01-15 11:04:00,Tablet,Entertainment,137,4.37,2,GPT-4o,1346
2025-03-14 08:27:00,Desktop,Daily Tasks,134,3.08,2,Mini,652
2025-01-16 11:04:00,Desktop,Daily Tasks,164,5.65,2,GPT-4o,1157
2025-03-05 04:17:00,Mobile,Productivity,96,3.5,2,GPT-4o,108
2025-03-23 02:10:00,Desktop,Education,159,3.31,3,Mini,1118
2025-02-14 20:54:00,Desktop,Daily Tasks,74,2.29,2,o1,167
2025-02-13 14:46:00,Desktop,Productivity,100,1.08,2,Mini,1008
